screen_name,category,description,components,integrations,functions,assets,navigation_from,navigation_to
Splash Screen,Authentication,App launch screen with branding,"App Logo, Loading Animation, Brand Colors","Firebase, SharedPreferences","initializeApp(), checkAuthState(), loadUserData()","app_logo.png, loading_animation.json",App Launch,Onboarding/Login/Home
Onboarding Screen,Authentication,Welcome tutorial screens,"PageView, Dots Indicator, Skip Button, Next Button",SharedPreferences,"markOnboardingComplete(), navigateToLogin()","onboarding_1.png, onboarding_2.png, onboarding_3.png",Splash Screen,Login Screen
Login Screen,Authentication,User authentication entry point,"Email TextField, Password TextField, Login Button, Google Sign In, Forgot Password Link","Firebase Auth, Google Sign In, Biometric Auth","signInWithEmail(), signInWithGoogle(), signInWithBiometric()","google_icon.png, fingerprint_icon.png",Onboarding Screen,Home Screen/Registration Screen
Registration Screen,Authentication,New user account creation,"Name TextField, Email TextField, Password TextField, Confirm Password, Terms Checkbox, Register Button","Firebase Auth, Cloud Firestore","createUserWithEmail(), sendEmailVerification(), saveUserProfile()",default_avatar.png,Login Screen,Email Verification Screen
Email Verification Screen,Authentication,Email verification confirmation,"Email Icon, Verification Message, Resend Button, Open Email App Button","Firebase Auth, Email Intent","checkEmailVerification(), resendVerificationEmail()",email_verification.png,Registration Screen,Profile Setup Screen
Profile Setup Screen,Authentication,Initial user profile configuration,"Avatar Upload, Name Input, Phone Input, Address Input, Style Preferences","Cloud Firestore, Firebase Storage, Image Picker","uploadProfileImage(), saveUserProfile(), setStylePreferences()","camera_icon.png, gallery_icon.png",Email Verification Screen,Home Screen
Home Screen,Main,Main dashboard with navigation,"AppBar, Bottom Navigation, Recent Designs, Quick Actions, AI Suggestions","Firebase Analytics, Cloud Firestore, AI Services","loadRecentDesigns(), getAISuggestions(), navigateToDesignStudio()","home_banner.png, quick_action_icons.png",Multiple Screens,Design Studio/Virtual Fitting/Orders/Profile
Design Studio Screen,Design,Interactive garment design interface,"Custom Canvas, Tool Palette, Color Picker, Pattern Library, AI Assistant","CustomPainter, AI Design API, Cloud Storage","initializeCanvas(), drawDesignElement(), saveDesign(), getAIDesignSuggestions()","design_tools.png, pattern_library/, color_swatches.json",Home Screen,Virtual Fitting Screen/Save Design Dialog
AI Design Assistant Screen,AI,AI-powered design suggestions,"Chat Interface, Design Prompt Input, Generated Designs Grid, Apply Button","AI Generation API, Cloud Firestore","generateDesignFromPrompt(), refineDesign(), applyDesignToCanvas()","ai_avatar.png, design_templates/",Design Studio Screen,Design Studio Screen
Virtual Fitting Screen,AR/VR,Virtual try-on experience,"Camera View, AR Overlay, Design Preview, Fit Adjustments, Capture Button","AR Core/ARKit, Camera Plugin, ML Kit","initializeARSession(), overlayDesign(), capturePhoto(), analyzeFit()","ar_models/, fit_adjustment_icons.png",Design Studio Screen,Measurement Input Screen/Order Summary
Body Measurement Screen,Measurement,Body measurement input and capture,"Measurement Form, Camera Capture, Manual Input, AI Analysis, Save Button","Camera Plugin, ML Kit, Cloud Firestore","captureBodyMeasurement(), analyzeMeasurement(), saveMeasurements()","measurement_guide.png, body_outline.svg",Virtual Fitting Screen,Size Recommendation Screen
Size Recommendation Screen,Measurement,AI-powered size recommendations,"Size Chart, Recommendations List, Fit Confidence, Adjustment Options","AI Sizing API, Cloud Firestore","calculateSizeRecommendation(), generateFitReport()","size_chart.png, fit_indicators.png",Body Measurement Screen,Order Summary Screen
Order Summary Screen,Orders,Order review and confirmation,"Design Preview, Measurements Summary, Price Breakdown, Delivery Options, Order Button","Cloud Firestore, Payment Gateway","calculateOrderTotal(), validateOrder(), proceedToPayment()",order_summary_template.png,Size Recommendation Screen,Payment Screen
Payment Screen,Payment,Secure payment processing,"Payment Methods, Card Input, Billing Address, Security Elements, Pay Button","Stripe/Razorpay, Firebase Functions","processPayment(), validatePaymentInfo(), createPaymentIntent()","payment_icons.png, security_badges.png",Order Summary Screen,Order Confirmation Screen
Order Confirmation Screen,Orders,Payment confirmation and next steps,"Success Animation, Order Details, Tracking Info, Next Steps, Home Button","Firebase Analytics, Push Notifications","sendOrderConfirmation(), scheduleNotifications()","success_animation.json, order_confirmed.png",Payment Screen,Home Screen/Order Tracking
Order Tracking Screen,Orders,Real-time order status tracking,"Progress Timeline, Status Updates, Delivery Map, Contact Support, Reorder Button","Cloud Firestore, Maps API, Push Notifications","trackOrderStatus(), updateDeliveryLocation()","tracking_icons.png, delivery_truck.png",Order Confirmation Screen,Support Screen
Orders History Screen,Orders,Past orders management,"Orders List, Search Bar, Filter Options, Order Cards, Reorder Button","Cloud Firestore, Search API","loadOrderHistory(), searchOrders(), filterOrders()",order_history_icons.png,Profile Screen,Order Details Screen
Profile Screen,Profile,User profile management,"Profile Header, Settings Menu, My Designs, Orders, Preferences","Cloud Firestore, Firebase Storage","loadUserProfile(), updateProfile(), uploadAvatar()","profile_placeholder.png, settings_icons.png",Home Screen,Settings/Orders/My Designs
Settings Screen,Settings,App and account settings,"Settings Groups, Toggle Switches, Selection Lists, Action Buttons","SharedPreferences, Firebase Auth","updateSettings(), toggleNotifications(), changeLanguage()",settings_icons.png,Profile Screen,Various Setting Screens
My Designs Screen,Design,Saved designs gallery,"Designs Grid, Search Bar, Filter Options, Design Cards, Edit Button","Cloud Firestore, Firebase Storage","loadUserDesigns(), searchDesigns(), editDesign()","design_thumbnails/, grid_layout.png",Profile Screen,Design Studio Screen
Support Screen,Support,Customer support and help,"FAQ Section, Contact Form, Chat Support, Help Articles","Chat API, Email Service","initiateChatSupport(), sendSupportEmail()","support_icons.png, faq_data.json",Various Screens,Chat Support Screen
